0,my mommy reach 
0,Wan an 
1,Sleepy 
1,Titanic always makes me cry 
0,Boa tarde 
1,Bombed a math quiz 
0,Night night 
0,Thanks for all the NY weather updates  very helpful  
0,Snapback day 
0,Well hello new girls 
1,Drop 
0,At work getting to it amp relaxing this is sweet  Thanking God For this Wonderful Opportunity Blessed
0,Early morning breakfast run with the team
0,The Sun OUT  
0,Bought some more silver wire  yay 
0,Have a nice flight everyone  love
0,Its Friday 
1,Having an allergic reaction to red onions  fabulous
1,
0,Payday 
0,Having A Body Shop Party tonight  
1,One more week 
0,Hallo  
0,cow in street 
0,got so much accomplished today already amp all before family feud awesome start to thighs day hope it stays positive
1,working all weekend long great way to not spend money and save money no beer for this kid 
0,Working for the tate is the best thing ever 
1,Some people are just no fun
0,GoodBye 
1,No tattoo Tuesday the soonest they can get me is in November  depressed
0,Fresh start Monday  Better be ready for me 
0,hey hey hey Daddy 
0,love being excused all afternoon 
0,put your hands behind your head
 
 FOLLOW
0,You had me at howdy 
0,Thats it for the day  Home it is
0,Someone take me to the UT game with them tomorrow 
1,its horrible how my math average went down 
1,And my nook is dead 
0,Its good to be matured but you cant deny the fact that for so many time of your life immaturity made you happy 
0,
0,Oh shit 
0,Grammy Nominations For
Adam Lambert cause es our everything 
0,You are my rock baby your the truth 
1,My boots would get back ordered
0,Time for bed 
Goodnight everybody 
0,when he liked my pics  
0,With my bitches tonight 
0,night Shes funny 
0,
1,The next thing that reminds me of Spencer is getting smashed right up 
0,Thank god my mom signed me out early 
1,only got fours squares of my chocolate bar left 
0,Boa Tarde 
0,
0,Home 
0,Everybody is beautiful 
1,cuddling with my sick puppy 
0,Money Money Money 
1,My head and eyes hurt 
0,Moving Forward Wisconsin
0,But no they wont ruin my day 
0,After every storm theres always a rainbow  optimistic
1,Could really do with a cuddle right now 
0,Be right back in a min or two 
1,Ugh what to wear decisions
0,concert was awesome 
0,new house is great 
0,Hope my weekend goes as planned 
1,
0,Tomorrow sand riding 
0,Its bout to be one hell of a weekend
0,ITS MY BIRTHDAY 
0,sold a whole box of chocolate   one more to go 
0,OH GOD DEs blood sharing scene That was a personal one 
0,Do it for me 
1,Need cheering up 
1,
0,One more period for me today Thank god its Friday 
0,busy weekend with fun xx
1,The goes my plans 
0,ill say that later 
1,Hate having fucking toothache 
0,
1,Jammer
0,you have lost so much take heart and rejoice it means you have the most to gain from life 
0,Smoke free and back at the gym  todays gone pretty well Id say
0,Its his birthday on sunday My baby deserves it 
0,mom needs to give me answer 
0,had a good lunch with my boy 
0,Harry potter
1,Watching A Clockwork Orange for the first time wish me luck 
0,new pictures 
0,Why not 
0,gobble gobble gobble 
1,sick 
1,What sad bastard does work on a Friday night  
0,mingle with others 
0,cinema later me thinks 
0,Do blondes really have more fun or they just easier to spot in the dark 
1,It is my fault    there is a first time for everything
0,
1,
0,Thats just made my day 
0,Watching stand up to cancer  they should do these sort of things more often
1,
0,Today was a very very very good day 
0,Hi 
1,Ugh The Rain Ruined My Hair 
0,Ready to get off amp enjoy this weekend we planned 
1,There are no good classes being offered in the English department next semester 
1,Bye bye Illinois 
0,GRAMMY NOMINATIONS FOR ADAM LAMBERT 
0,
1,Medicine time  blah
0, new picture
0,Boa Tarde  
1,no me cree 
0,Papa polo polo  mama polo polo 
1,Reprobe Mate 
0,Wale concert  tonight 
0,Texas is such a great place minus the horrible drivers 
1,Sniff sniff 
0,Might Hit Up Spoons Today 
